Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
71,3.8954379274574342,32.96,29.81,687,True
72,3.8951730589457165,32.96,29.75,698,False
73,3.8944584134543043,33.06,29.84,708,True
74,3.8947751422998316,33.06,29.76,719,False
75,3.8945007145900146,33.1,29.87,730,True
76,3.893402330102683,33.17,29.83,741,False
77,3.893196286256954,33.2,29.92,752,True
78,3.8933445429867986,33.2,29.93,764,True
79,3.892186912473219,33.29,29.92,775,False
80,3.8926733464745604,33.4,30.15,786,True
81,3.8919212085058152,33.34,30.04,797,False
82,3.8916264022816582,33.43,30.09,807,False
83,3.890959300492939,33.45,30.13,818,False
84,3.891313854677195,33.51,30.25,829,True
85,3.891178148935376,33.41,30.12,840,False
86,3.8907744455205435,33.5,30.04,851,False
87,3.890583857274782,33.62,30.23,861,False
88,3.8901005762105503,33.66,30.39,872,True
89,3.889341373522856,33.62,30.35,882,False
90,3.8901053406194968,33.66,30.26,893,False
91,3.8889369522105293,33.77,30.43,904,True
92,3.8889561551429557,33.77,30.26,914,False
93,3.8886124394276798,33.9,30.45,925,True
94,3.888557867330197,33.82,30.41,936,False
95,3.8885493985173443,33.85,30.43,946,False
96,3.888288555383022,33.94,30.61,957,True
97,3.888021738575436,34.05,30.5,968,False
98,3.88718563830093,33.99,30.56,979,False
99,3.886607337856557,33.97,30.47,989,False
100,3.886007435764302,34.05,30.64,1000,True
101,3.8863301845138425,34.11,30.62,1011,False
102,3.886235246367732,34.17,30.72,1022,True
103,3.8859349664228446,34.14,30.5,1032,False
104,3.885736363086014,34.26,30.71,1043,False
105,3.8859299266107197,34.19,30.68,1054,False
106,3.884774875772957,34.29,30.78,1065,True
107,3.8845083158762503,34.33,30.65,1075,False
108,3.884425891733566,34.48,30.77,1086,False
109,3.884017612134981,34.5,30.83,1097,True
110,3.882912457484618,34.51,30.86,1107,True
111,3.882962389335738,34.7,31.01,1118,True
112,3.881736065212049,34.68,31.08,1129,True
113,3.881877817935891,34.72,31.11,1139,True
114,3.880967910269951,34.75,31.1,1150,False
115,3.8805343906635064,34.76,31.25,1162,True
116,3.8811338218625564,34.76,31.26,1174,True
117,3.881048780399016,34.84,31.16,1187,False
118,3.8802891748433628,34.8,31.1,1200,False
119,3.88049317330865,34.87,31.22,1215,False
120,3.8803917344587333,34.99,31.36,1229,True
121,3.8798445083427957,34.97,31.3,1242,False
122,3.8796978089287673,34.99,31.31,1254,False
123,3.878902615602657,35.07,31.34,1268,False
124,3.879663067841464,35.1,31.25,1281,False
125,3.8793095419611627,35.1,31.26,1295,False
126,3.8792512905564664,35.06,31.28,1309,False
127,3.8778635577151648,35.1,31.31,1323,False
128,3.8783329906886306,35.06,31.32,1337,False
129,3.8782752412177848,35.15,31.41,1351,True
130,3.8776531675185524,35.11,31.37,1365,False
131,3.878187423927962,35.25,31.42,1379,True
132,3.877710715555418,35.22,31.43,1393,True
133,3.8774539526149505,35.25,31.4,1407,False
134,3.8774147449768153,35.32,31.47,1415,True
135,3.8776258583544365,35.32,31.59,1424,True
136,3.8781312568696253,35.33,31.43,1438,False
137,3.8771121409461107,35.36,31.55,1453,False
138,3.8761665451229446,35.34,31.46,1466,False
